brand,title,url,review_count,current_price
neprosto,Футболка самолёт корона женская хлопок,https://www.wildberries.ru/catalog/33562590/detail.aspx,12944,896
Telle Quelle,Кроп топ укороченный под пиджак,https://www.wildberries.ru/catalog/34147359/detail.aspx,7804,756
Эйфория,Топ спортивный поддерживающий,https://www.wildberries.ru/catalog/10027312/detail.aspx,2969,1440
EARLY BEW,Футболка женская оверсайз спортивная для девочки белая,https://www.wildberries.ru/catalog/48223188/detail.aspx,3589,518
Galala,Футболка-поло женская однотонная базовая с воротником белая,https://www.wildberries.ru/catalog/75574193/detail.aspx,758,1909
Light skin,"Топ женский домашний, топик спортивный с чашечками, кроп топ",https://www.wildberries.ru/catalog/33544913/detail.aspx,6775,456
WIKIM,Футболка оверсайз черная одежда,https://www.wildberries.ru/catalog/142193112/detail.aspx,307,1046
CumAMORE,"Топ женский трикотажный, спортивный топ",https://www.wildberries.ru/catalog/34131165/detail.aspx,2376,672
VIZAY,Топ короткий спортивный женский топ бра,https://www.wildberries.ru/catalog/75240843/detail.aspx,1330,440
ТИО,Футболка с принтом,https://www.wildberries.ru/catalog/73368060/detail.aspx,6364,462
Annemore,Футболка базовая хлопковая,https://www.wildberries.ru/catalog/14114862/detail.aspx,21331,1356
Апрель,Футболка женская черная с принтом хлопок 100%,https://www.wildberries.ru/catalog/21667449/detail.aspx,28638,636
Black Dragon,Футболка женская оверсайз хлопок,https://www.wildberries.ru/catalog/123449692/detail.aspx,453,375
SigmaPrint,Футболка белая с принтом,https://www.wildberries.ru/catalog/115788060/detail.aspx,1238,778
WAKA WAKA SHOP,Футболка черная с принтом парные,https://www.wildberries.ru/catalog/46803051/detail.aspx,2249,652
neprosto,Футболка самолёт корона женская хлопок,https://www.wildberries.ru/catalog/140279789/detail.aspx,12944,769
Цветущий Век,Футболка женская черная с принтом,https://www.wildberries.ru/catalog/97939972/detail.aspx,549,705
rely,Кроп топ бра спортивный,https://www.wildberries.ru/catalog/34773058/detail.aspx,1864,2501
Queens Top,Топ женский вечерний на бретелях кроп летний серый,https://www.wildberries.ru/catalog/93334892/detail.aspx,868,782
memes by CoLepen,Футболка с наклейками Майка с принтом,https://www.wildberries.ru/catalog/97173204/detail.aspx,3388,1120
Yulia Artseva,Топ женский с длинными рукавами хлопковый,https://www.wildberries.ru/catalog/18249555/detail.aspx,1794,794
PrintCult,Футболка женская с принтом,https://www.wildberries.ru/catalog/92234050/detail.aspx,3001,750
PrintCult,Футболка женская с принтом спорт,https://www.wildberries.ru/catalog/93474583/detail.aspx,1414,750
MATERIA,Футболка хлопковая базовая,https://www.wildberries.ru/catalog/7634893/detail.aspx,11781,755
MANICLO,Топ шелковый вечерний,https://www.wildberries.ru/catalog/88675016/detail.aspx,1430,1866
Kaipi,Кроп топ спортивный укороченный с вырезом,https://www.wildberries.ru/catalog/70354923/detail.aspx,2057,1357
ТЕЛОДВИЖЕНИЯ,Футболка женская укороченная спортивная оверсайз кроптоп,https://www.wildberries.ru/catalog/32774763/detail.aspx,3332,830
RoseWater,"Футболка удлинённая оверсайз ""Del Rey""",https://www.wildberries.ru/catalog/81774855/detail.aspx,1372,1500
ONSO,Топ корсет вечерний блузка офис кроп топ спортивный,https://www.wildberries.ru/catalog/90469225/detail.aspx,478,1984
MOSHKA,Топ женский вечерний кроп топ под пиджак,https://www.wildberries.ru/catalog/67101784/detail.aspx,6582,758
Pink Bus,Футболка оверсайз с принтом базовая,https://www.wildberries.ru/catalog/25684995/detail.aspx,8053,1298
DaRo Сlothes,Топ,https://www.wildberries.ru/catalog/27803653/detail.aspx,7055,656
More,Футболка женская оверсайз до 80 размера в подарок,https://www.wildberries.ru/catalog/116098123/detail.aspx,943,1350
FRIDAY SHOP 2018,Топ спортивный кроп топ вечерний топ,https://www.wildberries.ru/catalog/63006269/detail.aspx,2542,1426
JJ Wear,Двухцветная женская футболка с вырезом,https://www.wildberries.ru/catalog/19386120/detail.aspx,17882,851
ТИО,Футболка с принтом,https://www.wildberries.ru/catalog/113448900/detail.aspx,6364,399
Sevenext,Футболка женская базовая универсальная,https://www.wildberries.ru/catalog/70067683/detail.aspx,2607,713
MOSHKA,Топ женский вечерний кроп топ под пиджак,https://www.wildberries.ru/catalog/76649518/detail.aspx,6582,758
ТЕЛОДВИЖЕНИЯ,Футболка женская укороченная спортивная оверсайз кроптоп,https://www.wildberries.ru/catalog/35497578/detail.aspx,3332,830
KODA,Топ женский одежда спортивная без рукавов кроп майка белый,https://www.wildberries.ru/catalog/17882737/detail.aspx,12132,430
Annemore,Футболка базовая хлопковая,https://www.wildberries.ru/catalog/13711640/detail.aspx,21331,1396
SOLD OUT,Футболка оверсайз oversize белая,https://www.wildberries.ru/catalog/30402667/detail.aspx,3988,1294
ООО ВЕГА,Футболка белая хлопковая с принтом оверсайз,https://www.wildberries.ru/catalog/35899759/detail.aspx,28836,820
Mirlin,Топ сетка женский с рукавами лонгслив,https://www.wildberries.ru/catalog/140507767/detail.aspx,97,2050
Ticle,Футболка женская оверсайз,https://www.wildberries.ru/catalog/18911859/detail.aspx,18014,971
memes by CoLepen,Футболка с наклейками Майка с принтом,https://www.wildberries.ru/catalog/139239291/detail.aspx,3388,1120
Ticle,Футболка женская оверсайз,https://www.wildberries.ru/catalog/21614895/detail.aspx,18014,971
UZcotton,Футболка женская с коротким рукавом приталенная хлопок,https://www.wildberries.ru/catalog/9176946/detail.aspx,7783,450
Ticle,Футболка женская оверсайз,https://www.wildberries.ru/catalog/21125910/detail.aspx,18014,1083
Kiki more,Укороченная футболка кроп топ спортивный,https://www.wildberries.ru/catalog/26765598/detail.aspx,1722,626
Дикий Шоп,Футболка оверсайз,https://www.wildberries.ru/catalog/91180080/detail.aspx,750,3180
TALIA,Топ с длинным рукавом кроп топ,https://www.wildberries.ru/catalog/41663114/detail.aspx,1252,1463
RoMaxTex,Футболка с принтом,https://www.wildberries.ru/catalog/68832455/detail.aspx,3042,792
ClothGasm,Топ с длинным рукавом,https://www.wildberries.ru/catalog/66398739/detail.aspx,426,741
NAOMI with Love,"Базовый кроп топ женский спортивный широкие бретели, белый",https://www.wildberries.ru/catalog/86127379/detail.aspx,517,2139
Апрель,Футболка женская белая с принтом хлопок 100%,https://www.wildberries.ru/catalog/11398247/detail.aspx,28638,636
Annemore,Футболка базовая хлопковая,https://www.wildberries.ru/catalog/14526971/detail.aspx,21331,1396
Magliera,Кроп топ под пиджак укороченный,https://www.wildberries.ru/catalog/30286565/detail.aspx,4933,1281
Ticle,Футболка женская оверсайз,https://www.wildberries.ru/catalog/15061498/detail.aspx,18014,1083
